"DataProcessingPath";"DataProcessingType";"Technical Label";"Functional Label";"Type";"Summary";"Description";"CatalogInPath";"CatalogInType";"CatalogOutPath";"CatalogOutType"
"\Fabric Production ETL\PL_BRZ_AbilityOnePrograms";"\Data Flow\Data Processing";"account_accountid_Landing_to_Bronze";"account accountid Landing to Bronze";"Copy";"Column-level lineage for account.accountid";"Validated pilot direct pass-through mapping. Expand only after confirming the Fabric transformation for additional columns.";"\LH_LANDING\dbo\account\accountid";"\Database\Model\Table\Column";"\LH_BRONZE\dbo\account\accountid";"\Database\Model\Table\Column"
"\Fabric Production ETL\PL_SLR_AbilityOnePrograms";"\Data Flow\Data Processing";"account_accountid_Bronze_to_Silver";"account accountid Bronze to Silver";"Copy";"Column-level lineage for account.accountid";"Validated pilot direct pass-through mapping. Expand only after confirming the Fabric transformation for additional columns.";"\LH_BRONZE\dbo\account\accountid";"\Database\Model\Table\Column";"\LH_SILVER\dbo\account\accountid";"\Database\Model\Table\Column"
"\Fabric Production ETL\PL_GLD_AbilityOnePrograms";"\Data Flow\Data Processing";"account_accountid_Silver_to_Gold_CDC";"account accountid Silver to Gold CDC";"Copy";"Column-level lineage for account.accountid";"Validated pilot direct pass-through mapping. Expand only after confirming the Fabric transformation for additional columns.";"\LH_SILVER\dbo\account\accountid";"\Database\Model\Table\Column";"\WH_EDWDATALAKE\CDC\cdc_account\accountid";"\Database\Model\Table\Column"
"\Fabric Production ETL\dbo.usp_Merge_CDCGold_To_Dbo";"\Data Flow\Data Processing";"account_accountid_CDC_to_Dbo_Merge";"account accountid Gold CDC to Dbo";"Copy";"Column-level lineage for account.accountid";"Validated pilot direct pass-through mapping. Expand only after confirming the Fabric transformation for additional columns.";"\WH_EDWDATALAKE\CDC\cdc_account\accountid";"\Database\Model\Table\Column";"\WH_EDWDATALAKE\dbo\account\accountid";"\Database\Model\Table\Column"
"\Fabric Production ETL\PL_BRZ_AbilityOnePrograms";"\Data Flow\Data Processing";"account_accountnumber_Landing_to_Bronze";"account accountnumber Landing to Bronze";"Copy";"Column-level lineage for account.accountnumber";"Validated pilot direct pass-through mapping. Expand only after confirming the Fabric transformation for additional columns.";"\LH_LANDING\dbo\account\accountnumber";"\Database\Model\Table\Column";"\LH_BRONZE\dbo\account\accountnumber";"\Database\Model\Table\Column"
"\Fabric Production ETL\PL_SLR_AbilityOnePrograms";"\Data Flow\Data Processing";"account_accountnumber_Bronze_to_Silver";"account accountnumber Bronze to Silver";"Copy";"Column-level lineage for account.accountnumber";"Validated pilot direct pass-through mapping. Expand only after confirming the Fabric transformation for additional columns.";"\LH_BRONZE\dbo\account\accountnumber";"\Database\Model\Table\Column";"\LH_SILVER\dbo\account\accountnumber";"\Database\Model\Table\Column"
"\Fabric Production ETL\PL_GLD_AbilityOnePrograms";"\Data Flow\Data Processing";"account_accountnumber_Silver_to_Gold_CDC";"account accountnumber Silver to Gold CDC";"Copy";"Column-level lineage for account.accountnumber";"Validated pilot direct pass-through mapping. Expand only after confirming the Fabric transformation for additional columns.";"\LH_SILVER\dbo\account\accountnumber";"\Database\Model\Table\Column";"\WH_EDWDATALAKE\CDC\cdc_account\accountnumber";"\Database\Model\Table\Column"
"\Fabric Production ETL\dbo.usp_Merge_CDCGold_To_Dbo";"\Data Flow\Data Processing";"account_accountnumber_CDC_to_Dbo_Merge";"account accountnumber Gold CDC to Dbo";"Copy";"Column-level lineage for account.accountnumber";"Validated pilot direct pass-through mapping. Expand only after confirming the Fabric transformation for additional columns.";"\WH_EDWDATALAKE\CDC\cdc_account\accountnumber";"\Database\Model\Table\Column";"\WH_EDWDATALAKE\dbo\account\accountnumber";"\Database\Model\Table\Column"
"\Fabric Production ETL\PL_BRZ_AbilityOnePrograms";"\Data Flow\Data Processing";"account_address1_city_Landing_to_Bronze";"account address1_city Landing to Bronze";"Copy";"Column-level lineage for account.address1_city";"Validated pilot direct pass-through mapping. Expand only after confirming the Fabric transformation for additional columns.";"\LH_LANDING\dbo\account\address1_city";"\Database\Model\Table\Column";"\LH_BRONZE\dbo\account\address1_city";"\Database\Model\Table\Column"
"\Fabric Production ETL\PL_SLR_AbilityOnePrograms";"\Data Flow\Data Processing";"account_address1_city_Bronze_to_Silver";"account address1_city Bronze to Silver";"Copy";"Column-level lineage for account.address1_city";"Validated pilot direct pass-through mapping. Expand only after confirming the Fabric transformation for additional columns.";"\LH_BRONZE\dbo\account\address1_city";"\Database\Model\Table\Column";"\LH_SILVER\dbo\account\address1_city";"\Database\Model\Table\Column"
"\Fabric Production ETL\PL_GLD_AbilityOnePrograms";"\Data Flow\Data Processing";"account_address1_city_Silver_to_Gold_CDC";"account address1_city Silver to Gold CDC";"Copy";"Column-level lineage for account.address1_city";"Validated pilot direct pass-through mapping. Expand only after confirming the Fabric transformation for additional columns.";"\LH_SILVER\dbo\account\address1_city";"\Database\Model\Table\Column";"\WH_EDWDATALAKE\CDC\cdc_account\address1_city";"\Database\Model\Table\Column"
"\Fabric Production ETL\dbo.usp_Merge_CDCGold_To_Dbo";"\Data Flow\Data Processing";"account_address1_city_CDC_to_Dbo_Merge";"account address1_city Gold CDC to Dbo";"Copy";"Column-level lineage for account.address1_city";"Validated pilot direct pass-through mapping. Expand only after confirming the Fabric transformation for additional columns.";"\WH_EDWDATALAKE\CDC\cdc_account\address1_city";"\Database\Model\Table\Column";"\WH_EDWDATALAKE\dbo\account\address1_city";"\Database\Model\Table\Column"
